Biosample name	Original biosample indices	Altius Biosample IDs
Karpas_422	[636, 637]	['DS27648A', 'DS27641A']
A673	[638, 640]	['DS27667A', 'DS27751A']
Oci_Ly_7	[639, 650]	['DS27687A', 'DS29219C']
renal_cell_carcinoma	[642, 645, 677, 678]	['DS26693A', 'DS26692B', 'DS37974', 'DS37973']
podocytes	[646]	['DS26685']
Brain_Mid_Frontal_Gyrus	[648]	['DS28617A']
Trophoblast	[651, 652, 653, 654, 674, 675, 681]	['DS30587A', 'DS30582A', 'DS30557A', 'DS31397A', 'DS35787A', 'DS35782S', 'DS35778S']
Dendritic_cells_C51	[655]	['DS31642A']
neuronal	[658, 662]	['DS32096A', 'DS32047A']
RuES2_cms	[663, 683]	['DS32566A', 'DS37250A']
hepatocytes	[664]	['DS32057A']
kidney_tubular	[665, 679, 680, 690]	['DS27824', 'DS37971', 'DS37969', 'DS26689']
LoVo	[667]	['DS34628A']
CEC	[668, 693]	['DS34574A', 'DS37513A']
H9_AzH_G2M	[669]	['DS34890A']
H9_AzL_S	[670, 698]	['DS34885A', 'DS39293A']
H9_DN3_early	[671]	['DS34872A']
H9_KO2_late	[672]	['DS34866A']
Dendritic_cells_C190	[673]	['DS35823A']
786_O	[676, 689]	['DS37199', 'DS27192']
fRightVentricle	[684]	['DS37455A']
fLeftVentricle	[685, 691, 704]	['DS37450A', 'DS37292S', 'DS44708A']
fLeftAtrium	[688]	['DS37460A']
SW_480	[692, 695]	['DS37546A', 'DS38592A']
glomeruli	[694]	['DS39386']
HAP1	[699, 700]	['DS39509A', 'DS39502A']
RKO	[701, 703]	['DS40362', 'DS44414']
fHeartFibroblasts	[702]	['DS39481A']
HK_2	[709, 710]	['DS56256A', 'DS56257A']
H9_hESC	[711, 713]	['DS39598C', 'DS55945A']
DE	[712, 715]	['DS39603C', 'DS55923A']
NPC	[714]	['DS55951A']
ISL1	[716]	['DS55938A']
limb	[717]	['DS38801B']
fBone_arm_left	[719]	['DS39408B']
fBone_arm_right	[720]	['DS39410B']
fBone_leg_left	[721]	['DS39413A']
fBone_leg_right	[722]	['DS39417A']
fBone_femur	[729]	['DS36206B']
fLiver	[730]	['DS37372C']
